w_mm,freq_ghz,r_ohm,l_nH,g_uS,c_pF
0.2,0.6,15.7414,975.558,14.3735,14.1674
0.2,0.63,16.1311811405499,975.457739096638,15.1261387334142,14.1672960721517
0.2,0.66,16.5100917655209,975.364578783169,15.8799803773881,14.1671933699553
0.2,0.69,16.8792903377509,975.277748270069,16.6334774188705,14.1670921677438
0.2,0.72,17.2397605865796,975.1965707786,17.3853484216245,14.1669926926799
0.2,0.75,17.5923329320699,975.120453899493,18.1345555079905,14.1668951287486
0.2,0.78,17.9377054939551,975.048879973375,18.8802811459267,14.1667996208719
0.2,0.81,18.2764637221859,974.981396969375,19.6219049821544,14.1667062790161
0.2,0.84,18.6090981709618,974.917610106481,20.3589812913214,14.1666151821893
0.2,0.87,18.9360202399674,974.857174317984,21.0912174599568,14.166526382256
0.2,0.9,19.2575758878632,974.799787572502,21.8184537946901,14.1664399075164
0.2,0.93,19.5740574263469,974.745185015313,22.5406448369103,14.1663557660191
0.2,0.96,19.8857135566153,974.693133867619,23.2578422795719,14.1662739485895
0.2,0.99,20.1927578325346,974.643429009817,23.9701795142679,14.1661944315694
0.2,1.02,20.495375738473,974.595889172204,24.6778577856123,14.166117179271
0.2,1.05,20.7937305624649,974.550353659,25.3811338928957,14.166042146158
0.2,1.08,21.0879682321852,974.506679536739,26.0803093534685,14.1659692787659
0.2,1.11,21.3782212652858,974.464739224566,26.7757209261033,14.1658985173824
0.2,1.14,21.6646119689076,974.42441843082,27.4677323836947,14.1658297975059
0.2,1.17,21.947255006786,974.385614386967,28.1567274213439,14.1657630511027
0.2,1.2,22.2262594369513,974.348234336242,28.8431035866967,14.1656982076828
0.2,1.23,22.5017303089181,974.31219424009,29.5272671231813,14.1656351952144
0.2,1.26,22.7737698965768,974.27741767056,30.2096286225673,14.1655739408946
0.2,1.29,23.0424786317572,974.24383486135,30.8905993903059,14.1655143717936
0.2,1.32,23.3079557935655,974.21138189411,31.5705884348324,14.1654564153883
0.2,1.35,23.5703,974.18,32.25,14.1654
0.2,1.38,23.8296095409126,974.149634959482,32.9292315677499,14.1653450551485
0.2,1.41,24.0859825849812,974.12023658579,33.6086722657953,14.165291511834
0.2,1.44,24.3395172878734,974.091758279728,34.2887016223594,14.1652393027585
0.2,1.47,24.5903118241023,974.064156645265,34.9696886167701,14.1651883624935
0.2,1.5,24.8384643611003,974.037391156979,35.6519909809331,14.1651386276042
0.2,1.53,25.084072990671,974.011423871749,36.3359547123594,14.1650900367354
0.2,1.56,25.327235630142,973.986219178214,37.0219137645234,14.1650425306672
0.2,1.59,25.5680499031533,973.961743578515,37.7101898848888,14.1649960523428
0.2,1.62,25.8066130080248,973.93796549764,38.4010925749968,14.1649505468762
0.2,1.65,26.0430215799794,973.914855116405,39.0949191505954,14.1649059615412
0.2,1.68,26.2773715521179,973.892384224684,39.7919548829474,14.1648622457466
0.2,1.71,26.5097580189041,973.870526092032,40.4924732052104,14.1648193509994
0.2,1.74,26.7402751049771,973.849255353238,41.1967359702018,14.1647772308592
0.2,1.77,26.9690158413477,973.828547906742,41.9049937479499,14.1647358408856
0.2,1.8,27.1960720504096,973.808380824147,42.6174861532511,14.1646951385797
0.2,1.83,27.4215342407007,973.7887322693,43.3344421950217,14.1646550833226
0.2,1.86,27.6454915119472,973.76958142568,44.0560806405821,14.1646156363108
0.2,1.89,27.8680314706109,973.750908430972,44.7826103891701,14.1645767604895
0.2,1.92,28.0892401559135,973.732694317916,45.5142308499765,14.1645384204863
