w_mm,freq_ghz,r_ohm,l_uH,g_uS,c_pF
0.2,0.6,22.9081394017593,1.04380160133884,14.7788304568513,13.5109501263453
0.2,0.63,23.4319751601263,1.04365155816559,15.5474314732562,13.510845784625
0.2,0.66,23.9427750504092,1.04351304343113,16.3180387608078,13.5107425405438
0.2,0.69,24.4418868038741,1.04338454373229,17.0890327607202,13.5106406764856
0.2,0.72,24.9303570169346,1.04326480050373,17.8590588729271,13.5105404286346
0.2,0.75,25.4089992493312,1.04315276303134,18.6270064820401,13.5104419906326
0.2,0.78,25.8784483928457,1.04304755031129,19.3919870276113,13.5103455174031
0.2,0.81,26.3392037943402,1.04294842014162,20.1533118653294,13.5102511290109
0.2,0.84,26.7916632456441,1.04285474408613,20.910470504933,13.5101589144573
0.2,0.87,27.236149601124,1.04276598718666,21.6631096660627,13.5100689353312
0.2,0.9,27.6729314725261,1.04268169150752,22.4110134676482,13.509981229264
0.2,0.93,28.1022391851177,1.04260146276995,23.1540849605248,13.5098958131493
0.2,0.96,28.5242769573163,1.04252495947889,23.892329126207,13.5098126861074
0.2,0.99,28.9392320829819,1.04245188406131,24.625837395689,13.5097318321847
0.2,1.02,29.3472817456918,1.04238197562998,25.3547736888277,13.5096532227877
0.2,1.05,29.7485979721473,1.0423150040622,26.0793619351439,13.5095768188591
0.2,1.08,30.1433511325251,1.04225076514429,26.7998750085642,13.5095025728072
0.2,1.11,30.5317123149315,1.04218907658077,27.5166249896469,13.5094304302037
0.2,1.14,30.9138548357039,1.04212977470662,28.2299546573089,13.5093603312673
0.2,1.17,31.2899550942904,1.04207271177181,28.9402301063612,13.5092922121507
0.2,1.2,31.6601929385158,1.04201775369261,29.6478343858422,13.5092260060504
0.2,1.23,32.024751671327,1.0419647781842,30.3531620550604,13.5091616441552
0.2,1.26,32.3838178020728,1.04191367320516,31.0566145584507,13.5090990564534
0.2,1.29,32.7375806227737,1.04186433565756,31.7585963260666,13.509038172412
0.2,1.32,33.0862316716641,1.041816670297,32.4595115131665,13.5089789215457
0.2,1.35,33.4299641317134,1.04177058881511,33.1597612994659,13.5089212338878
0.2,1.38,33.7689722001915,1.04172600906435,33.8597416758679,13.5088650403757
0.2,1.41,34.1034504560798,1.04168285440001,34.5598416536229,13.5088102731636
0.2,1.44,34.4335932447999,1.04164105311944,35.2604418377212,13.5087568658711
0.2,1.47,34.7595940939625,1.04160053798166,35.9619133127851,13.5087047537774
0.2,1.5,35.0816451693402,1.04156124579384,36.6646167957367,13.508653873969
0.2,1.53,35.3999367767824,1.04152311705348,37.3689020150276,13.5086041654481
0.2,1.56,35.7146569131269,1.04148609563719,38.0751072812324,13.5085555692074
0.2,1.59,36.0259908671496,1.04145012852839,38.7835592183262,13.5085080282769
0.2,1.62,36.3341208701077,1.04141516557779,39.4945726290125,13.5084614877475
0.2,1.65,36.6392257943496,1.04138115929162,40.2084504710705,13.508415894775
0.2,1.68,36.9414808977164,1.04134806464318,40.9254839248754,13.5083711985683
0.2,1.71,37.2410576109572,1.0413158389044,41.6459525350558,13.5083273503651
0.2,1.74,37.5381233650771,1.04128444149437,42.370124411714,13.5082843033962
0.2,1.77,37.8328414553842,1.04125383384253,43.0982564787898,13.5082420128424
0.2,1.8,38.125370938958,1.04122397926439,43.8305947590229,13.5082004357853
0.2,1.83,38.4158665623058,1.0411948428483,44.5673746865981,13.5081595311521
0.2,1.86,38.7044787160748,1.0411663913516,45.3088214399672,13.5081192596578
0.2,1.89,38.9913534138312,1.04113859310524,46.0551502885568,13.5080795837451
