w_mm,freq_ghz,r_ohm,l_nH,g_uS,c_pF
0.4,0.6,5.46657,732.772,13.0132,17.5564
0.4,0.63,5.61633271502139,732.7408535378,13.6895915748375,17.5563078979571
0.4,0.66,5.76196337516091,732.710881078046,14.3677958999941,17.5562167336304
0.4,0.69,5.90338859742619,732.682099898112,15.0463852957861,17.5561267556544
0.4,0.72,6.04060485123582,732.654510826079,15.7241648314474,17.5560381721284
0.4,0.75,6.17366464293869,732.628101494066,16.4001539915899,17.55595115381
0.4,0.78,6.30266450165533,732.602849167368,17.0735674869894,17.5558658374564
0.4,0.81,6.4277346952428,732.578723166194,17.7437958660078,17.5557823292015
0.4,0.84,6.54903055133666,732.555686909419,18.410386442266,17.5557007078774
0.4,0.87,6.66672522886165,732.533699616784,19.0730249275774,17.5556210282129
0.4,0.9,6.78100377338939,732.51271770876,19.7315180490185,17.5555433238611
0.4,0.93,6.89205828977944,732.492695943325,20.3857773360527,17.5554676102227
0.4,0.96,7.00008407340964,732.473588326988,21.0358041873909,17.5553938870472
0.4,0.99,7.10527655379927,732.455348834524,21.681676266503,17.5553221408015
0.4,1.02,7.20782891926469,732.43793196833,22.3235352277258,17.5552523468082
0.4,1.05,7.30793030684062,732.421293184667,22.9615757398562,17.5551844711567
0.4,1.08,7.40576445701357,732.405389210454,23.5960357490669,17.555118472399
0.4,1.11,7.50150874720726,732.39017827086,24.2271879061395,17.5550543030432
0.4,1.14,7.59533353108093,732.375620244896,24.855332072722,17.5549919108579
0.4,1.17,7.68740172239502,732.361676763407,25.4807888161475,17.5549312400057
0.4,1.2,7.77786857243871,732.348311261476,26.1038938010649,17.5548722320193
0.4,1.23,7.86688159885796,732.335488995198,26.7249929877021,17.5548148266386
0.4,1.26,7.95458063127515,732.323177030925,27.3444385501673,17.5547589625207
0.4,1.29,8.04109794548028,732.311344213671,27.9625854331358,17.5547045778402
0.4,1.32,8.12655846333522,732.299961120038,28.5797884710309,17.5546516107905
0.4,1.35,8.21108,732.289,29.1964,17.5546
0.4,1.38,8.29477354379142,732.278434710994,29.8127678993112,17.5545496848729
0.4,1.41,8.37774355703123,732.268240647084,30.4292340050236,17.5545006058659
0.4,1.44,8.46008828873893,732.258394665316,31.0461328447882,17.5544527047079
0.4,1.47,8.54190009205961,732.248875010981,31.663790648291,17.554405924573
0.4,1.5,8.62326574096911,732.239661243025,32.2825245931165,17.5543602102114
0.4,1.53,8.70426674213203,732.230734160618,32.9026422506432,17.5543155080461
0.4,1.56,8.78497963885905,732.222075731576,33.5244412009833,17.55427176624
0.4,1.59,8.86547630496499,732.213669023158,34.148208789944,17.554228934738
0.4,1.62,8.94582422700846,732.205498135607,34.774222004547,17.5541869652889
0.4,1.65,9.0260867739285,732.197548138655,35.4027474468022,17.5541458114497
0.4,1.68,9.10632345351255,732.189805011126,36.034041388237,17.5541054285765
0.4,1.71,9.18659015545396,732.182255583703,36.6683498901525,17.5540657738034
0.4,1.74,9.26693938100508,732.174887484844,37.3059089767451,17.554026806012
0.4,1.77,9.34742045941902,732.167689089817,37.9469448501269,17.5539884857944
0.4,1.8,9.42807975151113,732.160649472766,38.5916741379318,17.5539507754101
0.4,1.83,9.50896084077017,732.153758361701,39.2403041656279,17.5539136387381
0.4,1.86,9.59010471251815,732.147006096315,39.8930332468983,17.5538770412267
0.4,1.89,9.67154992166167,732.140383588477,40.5500509865275,17.5538409498409
0.4,1.92,9.7533327496033,732.133882285285,41.2115385911518,17.5538053330077
0.4,1.95,9.83548735089274,732.12749413453,41.8776691840273,17.553770160562
