freq,rn,nfmin,sopt,s11,s12,s21,s22
700000000.0000000000,5.8908582850,0.0548269230,0.8989175831 / 4.3217944395,0.9658526438 / -11.6349133200,0.0135654655 / 91.6375257755,9.7242525842 / 161.2431244774,0.2230575975 / 20.4490687772
706500000.0000000000,5.8907893567,0.0549144745,0.8987651580 / 4.3617621137,0.9653139305 / -11.7367726254,0.0136999431 / 91.6643607191,9.7179301878 / 161.0775743348,0.2237335991 / 20.5332156096
713000000.0000000000,5.8907120736,0.0550026703,0.8986115165 / 4.4017285613,0.9647713687 / -11.8384760020,0.0138346246 / 91.6906865822,9.7115670334 / 160.9122012838,0.2244114354 / 20.6157012670
719500000.0000000000,5.8906264715,0.0550915077,0.8984566643 / 4.4416938156,0.9642249835 / -11.9400225228,0.0139695108 / 91.7165092432,9.7051633809 / 160.7470061833,0.2250910501 / 20.6965386830
726000000.0000000000,5.8905325855,0.0551809841,0.8983006068 / 4.4816579097,0.9636748005 / -12.0414112703,0.0141046022 / 91.7418343836,9.6987194911 / 160.5819898861,0.2257723875 / 20.7757408477
732500000.0000000000,5.8904304501,0.0552710965,0.8981433496 / 4.5216208766,0.9631208450 / -12.1426413364,0.0142398995 / 91.7666674984,9.6922356262 / 160.4171532386,0.2264553922 / 20.8533208016
739000000.0000000000,5.8903200993,0.0553618423,0.8979848980 / 4.5615827488,0.9625631426 / -12.2437118222,0.0143754033 / 91.7910139049,9.6857120491 / 160.2524970806,0.2271400096 / 20.9292916301
745500000.0000000000,5.8902015662,0.0554532187,0.8978252577 / 4.6015435588,0.9620017189 / -12.3446218382,0.0145111143 / 91.8148787519,9.6791490240 / 160.0880222454,0.2278261855 / 21.0036664571
752000000.0000000000,5.8900748836,0.0555452229,0.8976644341 / 4.6415033388,0.9614365995 / -12.4453705043,0.0146470329 / 91.8382670274,9.6725468161 / 159.9237295596,0.2285138664 / 21.0764584402
758500000.0000000000,5.8899400834,0.0556378522,0.8975024327 / 4.6814621207,0.9608678102 / -12.5459569498,0.0147831598 / 91.8611835668,9.6659056913 / 159.7596198430,0.2292029993 / 21.1476807646
765000000.0000000000,5.8897971971,0.0557311036,0.8973392590 / 4.7214199362,0.9602953768 / -12.6463803133,0.0149194955 / 91.8836330601,9.6592259166 / 159.5956939085,0.2298935317 / 21.2173466385
771500000.0000000000,5.8896462556,0.0558249745,0.8971749186 / 4.7613768169,0.9597193250 / -12.7466397429,0.0150560406 / 91.9056200593,9.6525077601 / 159.4319525620,0.2305854119 / 21.2854692873
778000000.0000000000,5.8894872891,0.0559194619,0.8970094168 / 4.8013327940,0.9591396807 / -12.8467343962,0.0151927955 / 91.9271489845,9.6457514902 / 159.2683966025,0.2312785883 / 21.3520619496
784500000.0000000000,5.8893203276,0.0560145632,0.8968427592 / 4.8412878987,0.9585564700 / -12.9466634403,0.0153297607 / 91.9482241309,9.6389573766 / 159.1050268217,0.2319730104 / 21.4171378717
791000000.0000000000,5.8891454001,0.0561102755,0.8966749513 / 4.8812421619,0.9579697186 / -13.0464260514,0.0154669367 / 91.9688496741,9.6321256897 / 158.9418440043,0.2326686279 / 21.4807103034
797500000.0000000000,5.8889625356,0.0562065959,0.8965059986 / 4.9211956142,0.9573794527 / -13.1460214155,0.0156043239 / 91.9890296761,9.6252567004 / 158.7788489273,0.2333653912 / 21.5427924934
804000000.0000000000,5.8887717621,0.0563035216,0.8963359065 / 4.9611482862,0.9567856984 / -13.2454487280,0.0157419229 / 92.0087680909,9.6183506805 / 158.6160423609,0.2340632512 / 21.6033976853
810500000.0000000000,5.8885731074,0.0564010498,0.8961646804 / 5.0011002082,0.9561884817 / -13.3447071937,0.0158797339 / 92.0280687694,9.6114079026 / 158.4534250673,0.2347621594 / 21.6625391131
817000000.0000000000,5.8883665988,0.0564991777,0.8959923260 / 5.0410514103,0.9555878288 / -13.4437960270,0.0160177574 / 92.0469354639,9.6044286396 / 158.2909978017,0.2354620677 / 21.7202299976
823500000.0000000000,5.8881522630,0.0565979024,0.8958188485 / 5.0810019225,0.9549837659 / -13.5427144515,0.0161559937 / 92.0653718335,9.5974131655 / 158.1287613114,0.2361629289 / 21.7764835421
830000000.0000000000,5.8879301264,0.0566972210,0.8956442535 / 5.1209517747,0.9543763191 / -13.6414617006,0.0162944433 / 92.0833814479,9.5903617543 / 157.9667163362,0.2368646960 / 21.8313129294
836500000.0000000000,5.8877002149,0.0567971308,0.8954685464 / 5.1609009964,0.9537655147 / -13.7400370170,0.0164331064 / 92.1009677917,9.5832746810 / 157.8048636083,0.2375673228 / 21.8847313174
843000000.0000000000,5.8874625538,0.0568976289,0.8952917327 / 5.2008496170,0.9531513789 / -13.8384396529,0.0165719834 / 92.1181342683,9.5761522210 / 157.6432038520,0.2382707634 / 21.9367518365
849500000.0000000000,5.8872171683,0.0569987124,0.8951138177 / 5.2407976659,0.9525339382 / -13.9366688702,0.0167110746 / 92.1348842040,9.5689946501 / 157.4817377840,0.2389749726 / 21.9873875855
856000000.0000000000,5.8869640828,0.0571003785,0.8949348070 / 5.2807451723,0.9519132187 / -14.0347239399,0.0168503803 / 92.1512208511,9.5618022447 / 157.3204661129,0.2396799057 / 22.0366516293
862500000.0000000000,5.8867033216,0.0572026244,0.8947547058 / 5.3206921650,0.9512892468 / -14.1326041426,0.0169899008 / 92.1671473916,9.5545752814 / 157.1593895398,0.2403855186 / 22.0845569950
869000000.0000000000,5.8864349085,0.0573054471,0.8945735196 / 5.3606386729,0.9506620488 / -14.2303087687,0.0171296362 / 92.1826669403,9.5473140374 / 156.9985087575,0.2410917678 / 22.1311166697
875500000.0000000000,5.8861588669,0.0574088439,0.8943912538 / 5.4005847246,0.9500316512 / -14.3278371175,0.0172695869 / 92.1977825480,9.5400187902 / 156.8378244511,0.2417986100 / 22.1763435971
882000000.0000000000,5.8858752198,0.0575128118,0.8942079138 / 5.4405303488,0.9493980803 / -14.4251884983,0.0174097530 / 92.2124972042,9.5326898176 / 156.6773372976,0.2425060028 / 22.2202506755
888500000.0000000000,5.8855839898,0.0576173481,0.8940235049 / 5.4804755738,0.9487613624 / -14.5223622293,0.0175501348 / 92.2268138402,9.5253273977 / 156.5170479660,0.2432139042 / 22.2628507545
895000000.0000000000,5.8852851993,0.0577224499,0.8938380325 / 5.5204204277,0.9481215241 / -14.6193576387,0.0176907324 / 92.2407353316,9.5179318090 / 156.3569571172,0.2439222726 / 22.3041566331
901500000.0000000000,5.8849788702,0.0578281143,0.8936515019 / 5.5603649388,0.9474785916 / -14.7161740637,0.0178315461 / 92.2542645005,9.5105033300 / 156.1970654040,0.2446310671 / 22.3441810571
908000000.0000000000,5.8846650241,0.0579343385,0.8934639184 / 5.6003091349,0.9468325915 / -14.8128108511,0.0179725759 / 92.2674041185,9.5030422395 / 156.0373734712,0.2453402473 / 22.3829367168
914500000.0000000000,5.8843436823,0.0580411196,0.8932752874 / 5.6402530440,0.9461835500 / -14.9092673570,0.0181138220 / 92.2801569086,9.4955488167 / 155.8778819551,0.2460497732 / 22.4204362451
921000000.0000000000,5.8840148657,0.0581484549,0.8930856143 / 5.6801966937,0.9455314937 / -15.0055429470,0.0182552846 / 92.2925255474,9.4880233408 / 155.7185914842,0.2467596054 / 22.4566922153
