# Simulated noise parameters and s parameters for entire LNA sans input matching network
freq,rn,nfmin,sopt,s11,s12,s21,s22
700000000.0000000000,6.1269434058,0.0633572965,0.8908237088 / 4.5421475830,0.8561361760 / -19.7248084533,0.0000007082 / 59.5444781733,73.4159142065 / -87.2020166067,0.0825391962 / -10.5924493442
706500000.0000000000,6.1249910287,0.0634605093,0.8906314470 / 4.5778391682,0.8538335355 / -19.8140435896,0.0000007429 / 58.0685327699,74.7155358440 / -89.1940037415,0.0806138901 / -10.6027334350
713000000.0000000000,6.1230963004,0.0635656577,0.8904370509 / 4.6136274353,0.8515403058 / -19.9020331397,0.0000007789 / 56.6020134159,76.0151292887 / -91.1755204532,0.0786914160 / -10.5782432791
719500000.0000000000,6.1212558508,0.0636726892,0.8902405574 / 4.6495071632,0.8492560446 / -19.9888057842,0.0000008162 / 55.1447102186,77.3143957465 / -93.1467776605,0.0767727754 / -10.5166978663
726000000.0000000000,6.1194665372,0.0637815548,0.8900420010 / 4.6854734671,0.8469802948 / -20.0743873284,0.0000008549 / 53.6964181233,78.6130396859 / -95.1079814982,0.0748590591 / -10.4156053350
732500000.0000000000,6.1177254781,0.0638922113,0.8898414119 / 4.7215218938,0.8447125882 / -20.1588006860,0.0000008950 / 52.2569365188,79.9107684672 / -97.0593335314,0.0729514568 / -10.2722428791
739000000.0000000000,6.1160298872,0.0640046118,0.8896388257 / 4.7576479710,0.8424524477 / -20.2420658628,0.0000009364 / 50.8260691011,81.2072921838 / -99.0010308994,0.0710512675 / -10.0836347992
745500000.0000000000,6.1143772179,0.0641187160,0.8894342719 / 4.7938476702,0.8401993901 / -20.3241999492,0.0000009794 / 49.4036237292,82.5023235022 / -100.9332664684,0.0691599113 / -9.8465288705
752000000.0000000000,6.1127650778,0.0642344849,0.8892277801 / 4.8301171670,0.8379529287 / -20.4052171206,0.0000010237 / 47.9894122701,83.7955774970 / -102.8562289936,0.0672789429 / -9.5573711270
758500000.0000000000,6.1111911381,0.0643518752,0.8890193859 / 4.8664525694,0.8357125755 / -20.4851286446,0.0000010696 / 46.5832504293,85.0867714784 / -104.7701032957,0.0654100675 / -9.2122793120
765000000.0000000000,6.1096533160,0.0644708530,0.8888091153 / 4.9028505243,0.8334778442 / -20.5639428970,0.0000011171 / 45.1849575631,86.3756248115 / -106.6750704557,0.0635551572 / -8.8070154039
771500000.0000000000,6.1081495970,0.0645913818,0.8885969984 / 4.9393076602,0.8312482519 / -20.6416653834,0.0000011661 / 43.7943564654,87.6618587190 / -108.5713080339,0.0617162719 / -8.3369578837
778000000.0000000000,6.1066780856,0.0647134259,0.8883830656 / 4.9758207757,0.8290233216 / -20.7182987681,0.0000012168 / 42.4112731238,88.9451960654 / -110.4589903204,0.0598956804 / -7.7970747545
784500000.0000000000,6.1052370516,0.0648369554,0.8881673417 / 5.0123869890,0.8268025848 / -20.7938429100,0.0000012690 / 41.0355364333,90.2253611101 / -112.3382886263,0.0580958859 / -7.1818987834
791000000.0000000000,6.1038247520,0.0649619331,0.8879498595 / 5.0490032340,0.8245855829 / -20.8682949045,0.0000013230 / 39.6669778565,91.5020792208 / -114.2093716299,0.0563196534 / -6.4855070632
797500000.0000000000,6.1024396867,0.0650883330,0.8877306415 / 5.0856669813,0.8223718700 / -20.9416491315,0.0000013787 / 38.3054310102,92.7750765275 / -116.0724057942,0.0545700400 / -5.7015077901
804000000.0000000000,6.1010803321,0.0652161228,0.8875097174 / 5.1223755255,0.8201610146 / -21.0138973105,0.0000014361 / 36.9507311595,94.0440794948 / -117.9275558781,0.0528504285 / -4.8230382153
810500000.0000000000,6.0997452834,0.0653452728,0.8872871140 / 5.1591263808,0.8179526018 / -21.0850285623,0.0000014953 / 35.6027145806,95.3088143774 / -119.7749855788,0.0511645630 / -3.8427790326
817000000.0000000000,6.0984332923,0.0654757602,0.8870628524 / 5.1959173841,0.8157462354 / -21.1550294780,0.0000015563 / 34.2612177520,96.5690065075 / -121.6148583435,0.0495165863 / -2.7529920636
823500000.0000000000,6.0971430135,0.0656075513,0.8868369647 / 5.2327460155,0.8135415398 / -21.2238841964,0.0000016192 / 32.9260763068,97.8243793401 / -123.4473384227,0.0479110788 / -1.5455899638
830000000.0000000000,6.0958733418,0.0657406245,0.8866094717 / 5.2696103178,0.8113381625 / -21.2915744917,0.0000016840 / 31.5971236506,99.0746531396 / -125.2725922556,0.0463530959 / -0.2122487240
836500000.0000000000,6.0946231845,0.0658749559,0.8863803968 / 5.3065082861,0.8091357767 / -21.3580798744,0.0000017507 / 30.2741891098,100.3195431343 / -127.0907903252,0.0448482020 / 1.2554242666
843000000.0000000000,6.0933914609,0.0660105187,0.8861497664 / 5.3434378833,0.8069340836 / -21.4233777098,0.0000018193 / 28.9570953990,101.5587568550 / -128.9021096951,0.0434024987 / 2.8656522087
849500000.0000000000,6.0921772171,0.0661472911,0.8859176028 / 5.3803973228,0.8047328158 / -21.4874433621,0.0000018900 / 27.6456550927,102.7919902077 / -130.7067375408,0.0420226408 / 4.6261660013
856000000.0000000000,6.0909795753,0.0662852539,0.8856839257 / 5.4173849852,0.8025317416 / -21.5502503786,0.0000019627 / 26.3396655999,104.0189215154 / -132.5048761783,0.0407158357 / 6.5437828892
862500000.0000000000,6.0897976145,0.0664243826,0.8854487605 / 5.4543990411,0.8003306704 / -21.6117707359,0.0000020374 / 25.0389018400,105.2392022193 / -134.2967503912,0.0394898184 / 8.6238775502
869000000.0000000000,6.0886306197,0.0665646619,0.8852121243 / 5.4914381532,0.7981294595 / -21.6719751925,0.0000021142 / 23.7431052945,106.4524418822 / -136.0826183821,0.0383527963 / 10.8697452870
875500000.0000000000,6.0874778640,0.0667060746,0.8849740357 / 5.5285009217,0.7959280259 / -21.7308338287,0.0000021932 / 22.4519671694,107.6581830905 / -137.8627886126,0.0373133548 / 13.2818707506
882000000.0000000000,6.0863387392,0.0668486078,0.8847345104 / 5.5655861313,0.7937263621 / -21.7883169338,0.0000022743 / 21.1651016810,108.8558576095 / -139.6376465204,0.0363803227 / 15.8571334902
888500000.0000000000,6.0852127624,0.0669922534,0.8844935594 / 5.6026928823,0.7915245641 / -21.8443965777,0.0000023576 / 19.8820021685,110.0447058246 / -141.4076984088,0.0355625981 / 18.5879990480
895000000.0000000000,6.0840996579,0.0671370141,0.8842511848 / 5.6398206065,0.7893228768 / -21.8990496226,0.0000024431 / 18.6019662143,111.2236195558 / -143.1736463290,0.0348689505 / 21.4617489304
901500000.0000000000,6.0829994589,0.0672829058,0.8840073766 / 5.6769694337,0.7871217765 / -21.9522640089,0.0000025308 / 17.3239627879,112.3908121929 / -144.9365209388,0.0343078337 / 24.4597649979
908000000.0000000000,6.0819129165,0.0674299836,0.8837620903 / 5.7141409372,0.7849221240 / -22.0040532336,0.0000026206 / 16.0463885930,113.5430615781 / -146.6979251563,0.0338872720 / 27.5567260385
914500000.0000000000,6.0808422138,0.0675783749,0.8835152173 / 5.7513395581,0.7827254568 / -22.0544938726,0.0000027124 / 14.7666217516,114.6737666047 / -148.4604804795,0.0336149017 / 30.7190545980
921000000.0000000000,6.0797935920,0.0677284210,0.8832664581 / 5.7885779091,0.7805344910 / -22.1038380021,0.0000028059 / 13.4803458578,115.7672112548 / -150.2285029328,0.0334980435 / 33.9001532671
927500000.0000000000,6.0787855597,0.0678810990,0.8830149435 / 5.8258926203,0.7783531317 / -22.1529120327,0.0000029000 / 12.1823041665,116.7786854254 / -152.0072488814,0.0335411337 / 37.0230201432
934000000.0000000000,6.0778782016,0.0680395143,0.8827578836 / 5.8633986014,0.7761734203 / -22.2046367839,0.0000029907 / 10.8925668833,117.5626696377 / -153.7766477422,0.0337096469 / 39.9210175697
940500000.0000000000,6.0770967096,0.0682048096,0.8824940405 / 5.9011177733,0.7738367082 / -22.2620495982,0.0000030752 / 9.8987015836,118.0156226415 / -155.2491315668,0.0336569367 / 42.5392974016
947000000.0000000000,6.0757972769,0.0683434950,0.8822536226 / 5.9377962740,0.7713692294 / -22.2938465706,0.0000031936 / 9.0877208714,119.6673376013 / -156.5376873839,0.0336133309 / 46.3015069285
953500000.0000000000,6.0745458405,0.0684853799,0.8820103086 / 5.9746084110,0.7691710840 / -22.3223808649,0.0000033150 / 7.8058337591,121.3022699765 / -158.2961058212,0.0342668910 / 49.8196009133
960000000.0000000000,6.0734496543,0.0686360300,0.8817587102 / 6.0117256488,0.7669944299 / -22.3561063887,0.0000034298 / 6.5034085575,122.5730645294 / -160.0740182167,0.0350521648 / 52.8539655014
966500000.0000000000,6.0724013104,0.0687897209,0.8815039791 / 6.0489287621,0.7648034306 / -22.3900784430,0.0000035444 / 5.2340062173,123.7281559998 / -161.8178632784,0.0359141195 / 55.6507821505
973000000.0000000000,6.0713719196,0.0689449337,0.8812474999 / 6.0861614107,0.7626027769 / -22.4227801496,0.0000036608 / 3.9871460338,124.8383226748 / -163.5381213809,0.0368617208 / 58.2656787103
979500000.0000000000,6.0703529837,0.0691012277,0.8809896801 / 6.1234074644,0.7603966679 / -22.4537160850,0.0000037795 / 2.7551408307,125.9243229837 / -165.2424793828,0.0378968263 / 60.7105044812
986000000.0000000000,6.0693413370,0.0692584417,0.8807306722 / 6.1606609814,0.7581876355 / -22.4826728229,0.0000039008 / 1.5337943205,126.9934496404 / -166.9351332673,0.0390161778 / 62.9890768091
992500000.0000000000,6.0683355392,0.0694165041,0.8804705474 / 6.1979192199,0.7559772894 / -22.5095302607,0.0000040248 / 0.3207546429,128.0486328436 / -168.6184346050,0.0402142258 / 65.1048915416
