# Simulated noise parameters and s parameters for entire LNA sans input matching network
freq,rn,nfmin,sopt,s11,s12,s21,s22
700000000.0000000000,5.9689337517,0.0577487194,0.8959998032 / 4.0773380806,0.8680739527 / -15.1527442817,0.0001333624 / -78.6966813565,40.4634789183 / 55.2834702606,0.2318019662 / 174.8814705619
706500000.0000000000,5.9685373464,0.0578639182,0.8958068509 / 4.1136247392,0.8665540801 / -15.1898222731,0.0001372248 / -79.6540849846,40.7605697509 / 53.8889528129,0.2334218282 / 173.1988780313
713000000.0000000000,5.9681462319,0.0579801176,0.8956124461 / 4.1499149239,0.8650590247 / -15.2259580742,0.0001411602 / -80.6018100469,41.0547705904 / 52.5051901444,0.2349809348 / 171.5513578809
719500000.0000000000,5.9677599623,0.0580973078,0.8954166011 / 4.1862078603,0.8635885615 / -15.2612107880,0.0001451694 / -81.5401639590,41.3460715486 / 51.1318779665,0.2364796458 / 169.9369414808
726000000.0000000000,5.9673781031,0.0582154792,0.8952193280 / 4.2225027866,0.8621424347 / -15.2956384333,0.0001492529 / -82.4694413147,41.6344617147 / 49.7687257330,0.2379184376 / 168.3537996441
732500000.0000000000,5.9670002538,0.0583346215,0.8950206396 / 4.2587989894,0.8607203585 / -15.3292976338,0.0001534113 / -83.3899254369,41.9199307089 / 48.4154548591,0.2392978844 / 166.8002315925
739000000.0000000000,5.9666260137,0.0584547243,0.8948205494 / 4.2950957178,0.8593220193 / -15.3622436996,0.0001576454 / -84.3018882047,42.2024676910 / 47.0717988301,0.2406186384 / 165.2746542416
745500000.0000000000,5.9662550241,0.0585757774,0.8946190708 / 4.3313922739,0.8579470766 / -15.3945304928,0.0001619558 / -85.2055908277,42.4820618051 / 45.7375022969,0.2418814140 / 163.7755927714
752000000.0000000000,5.9658869969,0.0586977729,0.8944162151 / 4.3676881146,0.8565951644 / -15.4262104108,0.0001663429 / -86.1012841079,42.7587018892 / 44.4123207406,0.2430869745 / 162.3016718321
758500000.0000000000,5.9655215411,0.0588206976,0.8942119986 / 4.4039824455,0.8552658934 / -15.4573341474,0.0001708076 / -86.9892096616,43.0323776238 / 43.0960191043,0.2442361223 / 160.8516079304
765000000.0000000000,5.9651583811,0.0589445426,0.8940064340 / 4.4402746646,0.8539588517 / -15.4879508001,0.0001753502 / -87.8695996433,43.3030785000 / 41.7883720608,0.2453296869 / 159.4242018943
771500000.0000000000,5.9647972520,0.0590692986,0.8937995345 / 4.4765642291,0.8526736068 / -15.5181078136,0.0001799716 / -88.7426771811,43.5707938657 / 40.4891635152,0.2463685173 / 158.0183322719
778000000.0000000000,5.9644378767,0.0591949549,0.8935913145 / 4.5128505152,0.8514097076 / -15.5478507003,0.0001846722 / -89.6086577817,43.8355144107 / 39.1981850597,0.2473534770 / 156.6329497597
784500000.0000000000,5.9640800086,0.0593215021,0.8933817877 / 4.5491329587,0.8501666843 / -15.5772233933,0.0001894526 / -90.4677479938,44.0972296685 / 37.9152374128,0.2482854338 / 155.2670709411
791000000.0000000000,5.9637234037,0.0594489293,0.8931709685 / 4.5854110045,0.8489440521 / -15.6062678075,0.0001943134 / -91.3201475125,44.3559305732 / 36.6401281223,0.2491652592 / 153.9197740552
797500000.0000000000,5.9633678513,0.0595772271,0.8929588711 / 4.6216841077,0.8477413110 / -15.6350240324,0.0001992553 / -92.1660485442,44.6116080351 / 35.3726722512,0.2499938215 / 152.5901939756
804000000.0000000000,5.9630131310,0.0597063847,0.8927455102 / 4.6579517519,0.8465579479 / -15.6635303027,0.0002042787 / -93.0056361405,44.8642529589 / 34.1126920113,0.2507719827 / 151.2775180172
810500000.0000000000,5.9626590563,0.0598363928,0.8925308998 / 4.6942134314,0.8453934388 / -15.6918227760,0.0002093842 / -93.8390893832,45.1138575162 / 32.8600154755,0.2515005971 / 149.9809825318
817000000.0000000000,5.9623054472,0.0599672413,0.8923150542 / 4.7304686640,0.8442472494 / -15.7199357133,0.0002145723 / -94.6665808154,45.3604138924 / 31.6144771975,0.2521805077 / 148.6998689942
823500000.0000000000,5.9619521387,0.0600989208,0.8920979875 / 4.7667170029,0.8431188351 / -15.7479016305,0.0002198437 / -95.4882759818,45.6039132197 / 30.3759187162,0.2528125409 / 147.4335004029
830000000.0000000000,5.9615989801,0.0602314214,0.8918797145 / 4.8029579833,0.8420076471 / -15.7757506482,0.0002251989 / -96.3043365468,45.8443497036 / 29.1441851704,0.2533975139 / 146.1812397861
836500000.0000000000,5.9612457925,0.0603647321,0.8916602504 / 4.8391911286,0.8409131285 / -15.8035112133,0.0002306383 / -97.1149173242,46.0817159595 / 27.9191285339,0.2539362240 / 144.9424858731
843000000.0000000000,5.9608924464,0.0604988437,0.8914396091 / 4.8754160177,0.8398347179 / -15.8312097908,0.0002361626 / -97.9201678813,46.3160049868 / 26.7006058793,0.2544294511 / 143.7166712942
849500000.0000000000,5.9605388225,0.0606337465,0.8912178055 / 4.9116322567,0.8387718523 / -15.8588706789,0.0002417722 / -98.7202336287,46.5472114098 / 25.4884782009,0.2548779603 / 142.5032607803
856000000.0000000000,5.9601847939,0.0607694306,0.8909948541 / 4.9478394259,0.8377239656 / -15.8865163478,0.0002474677 / -99.5152545488,46.7753293297 / 24.2826118055,0.2552824964 / 141.3017482777
862500000.0000000000,5.9598302390,0.0609058861,0.8907707695 / 4.9840371415,0.8366904912 / -15.9141673141,0.0002532495 / -100.3053660162,47.0003532108 / 23.0828774294,0.2556437858 / 140.1116553443
869000000.0000000000,5.9594750912,0.0610431046,0.8905455654 / 5.0202250708,0.8356708633 / -15.9418421324,0.0002591182 / -101.0906991103,47.2222780492 / 21.8891499079,0.2559625363 / 138.9325294448
875500000.0000000000,5.9591192058,0.0611810746,0.8903192579 / 5.0564027722,0.8346645187 / -15.9695573646,0.0002650742 / -101.8713810392,47.4410997130 / 20.7013077239,0.2562394382 / 137.7639424635
882000000.0000000000,5.9587624968,0.0613197866,0.8900918612 / 5.0925698987,0.8336708957 / -15.9973278150,0.0002711180 / -102.6475343257,47.6568135189 / 19.5192339031,0.2564751611 / 136.6054886198
888500000.0000000000,5.9584049064,0.0614592319,0.8898633895 / 5.1287261486,0.8326894367 / -16.0251664230,0.0002772501 / -103.4192775837,47.8694151075 / 18.3428151795,0.2566703560 / 135.4567834170
895000000.0000000000,5.9580463734,0.0615994019,0.8896338564 / 5.1648712448,0.8317195903 / -16.0530841935,0.0002834710 / -104.1867261569,48.0789011335 / 17.1719413109,0.2568256571 / 134.3174626559
901500000.0000000000,5.9576867918,0.0617402853,0.8894032779 / 5.2010047735,0.8307608100 / -16.0810904098,0.0002897811 / -104.9499914043,48.2852680214 / 16.0065058657,0.2569416793 / 133.1871807218
908000000.0000000000,5.9573260814,0.0618818719,0.8891716691 / 5.2371264080,0.8298125573 / -16.1091925424,0.0002961808 / -105.7091814455,48.4885128316 / 14.8464054228,0.2570190206 / 132.0656098530
914500000.0000000000,5.9569642285,0.0620241546,0.8889390426 / 5.2732359260,0.8288743010 / -16.1373963639,0.0003026706 / -106.4644009217,48.6886327223 / 13.6915398412,0.2570582615 / 130.9524388880
921000000.0000000000,5.9566011637,0.0621671228,0.8887054136 / 5.3093330246,0.8279455196 / -16.1657059160,0.0003092509 / -107.2157514788,48.8856254595 / 12.5418117448,0.2570599662 / 129.8473725514
927500000.0000000000,5.9562368358,0.0623107678,0.8884707961 / 5.3454174292,0.8270256987 / -16.1941237903,0.0003159220 / -107.9633306749,49.0794876718 / 11.3971277204,0.2570246792 / 128.7501297572
934000000.0000000000,5.9558712129,0.0624550802,0.8882352045 / 5.3814888432,0.8261143385 / -16.2226506519,0.0003226845 / -108.7072347388,49.2702186505 / 10.2573953264,0.2569529352 / 127.6604445840
940500000.0000000000,5.9555042217,0.0626000495,0.8879986540 / 5.4175470117,0.8252109456 / -16.2512859906,0.0003295387 / -109.4475550610,49.4578151474 / 9.1225269203,0.2568452463 / 126.5780630432
947000000.0000000000,5.9551358801,0.0627456686,0.8877611575 / 5.4535917300,0.8243150427 / -16.2800274718,0.0003364850 / -110.1843818922,49.6422765454 / 7.9924356441,0.2567021160 / 125.5027448652
