freq,s11,s12,s21,s22
0.7,0.775010082015917 - 0.204866012910951i,0.0152108478748691 - 0.596787343143071i,0.0152108478748691 - 0.596787343143071i,0.764040121064281 + 0.24458965260589i
0.7065,0.773074298509278 - 0.214880230385583i,0.00987516949239311 - 0.595882553622288i,0.0098751694923931 - 0.595882553622288i,0.766004595525562 + 0.240888832981887i
0.713,0.77095794407216 - 0.224885703081208i,0.00456454765964928 - 0.594990898458281i,0.0045645476596495 - 0.594990898458281i,0.767894090444172 + 0.237199562473575i
0.7195,0.768660809149025 - 0.234881158865097i,-0.000723365565658116 - 0.59411239251775i,-0.000723365565658106 - 0.594112392517751i,0.769709734148236 + 0.233522325759021i
0.726,0.766182599228789 - 0.244865310610898i,-0.00599089091878863 - 0.593246995886897i,-0.00599089091878892 - 0.593246995886897i,0.771452613073031 + 0.229857585475592i
0.7325,0.763522935667297 - 0.254836851665866i,-0.0112403228889386 - 0.59239461490357i,-0.0112403228889388 - 0.59239461490357i,0.773123772556447 + 0.226205784291687i
0.739,0.760681356554717 - 0.264794451339637i,-0.0164739306624271 - 0.591555103051566i,-0.016473930662427 - 0.591555103051566i,0.774724217641801 + 0.22256734690119i
0.7455,0.757657317629587 - 0.274736750405825i,-0.0216939590439612 - 0.590728261721073i,-0.0216939590439612 - 0.590728261721073i,0.776254913886606 + 0.218942681945567i
0.752,0.754450193241868 - 0.284662356607932i,-0.0269026293519919 - 0.589913840839025i,-0.026902629351992 - 0.589913840839025i,0.777716788176132 + 0.215332183868387i
0.7585,0.751059277367939 - 0.294569840161335i,-0.0321021402842821 - 0.589111539372914i,-0.0321021402842821 - 0.589111539372914i,0.779110729540902 + 0.211736234706804i
0.765,0.747483784681139 - 0.30445772924333i,-0.0372946687499087 - 0.588321005711406i,-0.0372946687499087 - 0.588321005711407i,0.780437589977511 + 0.20815520582438i
0.7715,0.743722851681991 - 0.314324505463487i,-0.0424823706639637 - 0.587541837924895i,-0.0424823706639636 - 0.587541837924895i,0.781698185272367 + 0.204589459589387i
0.778,0.73977553789294 - 0.3241685993068i,-0.0476673817012581 - 0.58677358390895i,-0.0476673817012582 - 0.58677358390895i,0.782893295828214 + 0.201039351002603i
0.7845,0.735640827122949 - 0.333988385542411i,-0.0528518180053408 - 0.586015741413463i,-0.0528518180053409 - 0.586015741413464i,0.78402366749347 + 0.19750522927837i
0.791,0.731317628808014 - 0.343782178590935i,-0.0580377768491219 - 0.585267757960112i,-0.0580377768491218 - 0.585267757960112i,0.785090012394642 + 0.193987439382555i
0.7975,0.726804779434202 - 0.353548227843724i,-0.063227337243353 - 0.584529030650644i,-0.0632273372433529 - 0.584529030650645i,0.786093009772248 + 0.190486323530842i
0.804,0.72210104405048 - 0.36328471292768i,-0.0684225604891519 - 0.583798905868366i,-0.0684225604891521 - 0.583798905868366i,0.787033306820881 + 0.187002222650639i
0.8105,0.717205117879267 - 0.372989738909586i,-0.0736254906706778 - 0.583076678875081i,-0.0736254906706779 - 0.583076678875081i,0.787911519534204 + 0.18353547780969i
0.817,0.712115628033257 - 0.382661331434229i,-0.0788381550839514 - 0.582361593305684i,-0.0788381550839514 - 0.582361593305685i,0.788728233555845 + 0.180086431614325i
0.8235,0.706831135347765 - 0.392297431790968i,-0.0840625645977002 - 0.581652840562518i,-0.0840625645977003 - 0.581652840562518i,0.789484005037318 + 0.176655429580121i
0.83,0.701350136338519 - 0.401895891903794i,-0.0893007139419574 - 0.580949559111537i,-0.0893007139419575 - 0.580949559111538i,0.790179361504282 + 0.173242821477563i
0.8365,0.695671065295527 - 0.411454469240346i,-0.0945545819199818 - 0.580250833682362i,-0.094554581919982 - 0.580250833682363i,0.790814802732544 + 0.16984896265514i
0.843,0.689792296524378 - 0.420970821635795i,-0.0998261315388939 - 0.579555694374207i,-0.0998261315388938 - 0.579555694374208i,0.791390801635443 + 0.166474215342144i
0.8495,0.683712146747071 - 0.430442502028022i,-0.105117310054216 - 0.578863115669786i,-0.105117310054217 - 0.578863115669786i,0.791907805164327 + 0.163118949933263i
0.856,0.677428877675214 - 0.439866953101032i,-0.110430048923309 - 0.578172015359263i,-0.110430048923309 - 0.578172015359263i,0.792366235224053 + 0.159783546256892i
0.8625,0.67094069876924 - 0.449241501834163i,-0.115766263662445 - 0.577481253376442i,-0.115766263662445 - 0.577481253376441i,0.79276648960551 + 0.156468394828917i
0.869,0.664245770198048 - 0.458563353955247i,-0.121127853602051 - 0.576789630549462i,-0.121127853602051 - 0.576789630549462i,0.793108942937376 + 0.15317389809354i
0.8755,0.657342206014324 - 0.467829588296632i,-0.126516701534369 - 0.576095887268412i,-0.12651670153437 - 0.576095887268412i,0.793393947659417 + 0.149900471652526i
0.882,0.650228077561604 - 0.477037151053692i,-0.131934673247532 - 0.575398702072428i,-0.131934673247532 - 0.575398702072428i,0.793621835019815 + 0.146648545484083i
0.8885,0.642901417129995 - 0.486182849946319i,-0.137383616939776 - 0.574696690159063i,-0.137383616939776 - 0.574696690159064i,0.793792916099096 + 0.143418565152357i
0.895,0.63536022187833 - 0.495263348284791i,-0.142865362507217 - 0.573988401818913i,-0.142865362507217 - 0.573988401818914i,0.793907482863439 + 0.140210993008351i
0.9015,0.627602458041394 - 0.504275158942421i,-0.148381720698335 - 0.573272320798802i,-0.148381720698335 - 0.573272320798802i,0.793965809250221 + 0.137026309382835i
0.908,0.619626065441737 - 0.513214638238456i,-0.153934482128001 - 0.57254686259711i,-0.153934482128001 - 0.57254686259711i,0.793968152288825 + 0.133865013771605i
0.9145,0.611428962326475 - 0.522077979735931i,-0.159525416143582 - 0.571810372695219i,-0.159525416143582 - 0.57181037269522i,0.793914753259858 + 0.130727626013203i
0.921,0.603009050550327 - 0.530861207960418i,-0.165156269535357 - 0.57106112472943i,-0.165156269535357 - 0.57106112472943i,0.793805838896052 + 0.127614687458963i
0.9275,0.594364221127044 - 0.539560172047099i,-0.170828765083176 - 0.570297318608172i,-0.170828765083176 - 0.570297318608173i,0.793641622628256 + 0.124526762134977i
0.934,0.585492360172197 - 0.548170539325037i,-0.176544599930981 - 0.56951707857986i,-0.176544599930981 - 0.569517078579861i,0.793422305880036 + 0.121464437895303i
0.9405,0.576391355261143 - 0.556687788849274i,-0.182305443780533 - 0.568718451257264i,-0.182305443780533 - 0.568718451257264i,0.793148079414531 + 0.118428327565429i
0.947,0.567059102226789 - 0.56510720489314i,-0.188112936895404 - 0.56789940360494i,-0.188112936895404 - 0.567899403604941i,0.792819124737305 + 0.115419070074699i
0.9535,0.557493512422497 - 0.57342387041511i,-0.19396868790602 - 0.567057820896915i,-0.19396868790602 - 0.567057820896916i,0.792435615559043 + 0.11243733157606i
0.96,0.547692520476218 - 0.581632660516708i,-0.199874271406313 - 0.566191504652573i,-0.199874271406313 - 0.566191504652573i,0.791997719322023 + 0.109483806551148i
0.9665,0.537654092562532 - 0.589728235910178i,-0.205831225332308 - 0.565298170559517i,-0.205831225332308 - 0.565298170559518i,0.791505598794389 + 0.106559218898336i
0.973,0.527376235219874 - 0.597705036417148i,-0.211841048112796 - 0.564375446393077i,-0.211841048112796 - 0.564375446393078i,0.79095941373628 + 0.103664323000975i
0.9795,0.516857004740611 - 0.605557274522114i,-0.21790519558209 - 0.563420869943042i,-0.21790519558209 - 0.563420869943043i,0.790359322641956 + 0.100799904772619i
0.986,0.506094517162054 - 0.613278929007419i,-0.224025077644763 - 0.562431886959299i,-0.224025077644763 - 0.562431886959299i,0.789705484562057 + 0.0979667826756004i
0.9925,0.495086958886615 - 0.620863738699411i,-0.230202054682219 - 0.561405849129116i,-0.230202054682219 - 0.561405849129116i,0.788998061010148 + 0.095165808708798i
0.999,0.483832597959411 - 0.628305196358713i,-0.236437433690967 - 0.560340012100025i,-0.236437433690967 - 0.560340012100026i,0.788237217957678 + 0.0923978693599821i
1.0055,0.472329796031443 - 0.635596542750929i,-0.242732464142542 - 0.559231533563529i,-0.242732464142542 - 0.55923153356353i,0.787423127921442 + 0.0896638865175526i
1.012,0.460577021036146 - 0.642730760937802i,-0.249088333555215 - 0.558077471416189i,-0.249088333555216 - 0.55807747141619i,0.786555972147521 + 0.0869648183359366i
1.0185,0.448572860606495 - 0.649700570832651i,-0.255506162767865 - 0.55687478201612i,-0.255506162767865 - 0.556874782016121i,0.785635942895589 + 0.0843016600483245i
1.025,0.436316036258989 - 0.656498424067984i,-0.261987000906781 - 0.555620318554387i,-0.261987000906781 - 0.555620318554388i,0.784663245827274 + 0.0816754447198036i
1.0315,0.423805418369682 - 0.663116499227488i,-0.268531820036656 - 0.554310829562443i,-0.268531820036656 - 0.554310829562444i,0.783638102502092 + 0.0790872439332935i
1.038,0.411040041965878 - 0.669546697499008i,-0.27514150948763 - 0.552942957578356i,-0.27514150948763 - 0.552942957578357i,0.782560752984149 + 0.0765381684000376i
1.0445,0.398019123355256 - 0.675780638809845i,-0.281816869851058 - 0.551513237996378i,-0.281816869851058 - 0.551513237996379i,0.781431458562549 + 0.0740293684856882i
1.051,0.384742077611826 - 0.681809658510499i,-0.288558606637572 - 0.550018098126152i,-0.288558606637572 - 0.550018098126153i,0.780250504588004 + 0.0715620346423205i
1.0575,0.371208536935374 - 0.687624804678011i,-0.295367323592166 - 0.548453856489771i,-0.295367323592166 - 0.548453856489771i,0.779018203427707 + 0.0691373977359691i
